Setup,Test,Discovery Time
1,1,62.592458724975586
1,2,62.593751668930054
1,3,62.592127561569214
1,4,62.59619951248169
1,5,62.59151315689087
1,6,62.60257887840271
1,7,62.596519231796265
1,8,62.595842599868774
1,9,62.592124223709106
1,10,62.590798139572144
2,1,17.530739545822144
2,2,17.529775857925415
2,3,17.529698371887207
2,4,17.529146432876587
2,5,17.529247522354126
2,6,17.52996563911438
2,7,17.528269052505493
2,8,17.530223846435547
2,9,17.531975746154785
2,10,17.530717849731445
3,1,67.59912085533142
3,2,67.60523223876953
3,3,67.6030809879303
3,4,67.60712838172913
3,5,67.60406160354614
3,6,67.61052513122559
3,7,67.60224962234497
3,8,67.60938549041748
3,9,67.60796999931335
3,10,67.60241794586182
4,1,32.554115772247314
4,2,32.550480127334595
4,3,32.5536732673645
4,4,32.55166721343994
4,5,32.55339431762695
4,6,32.55430841445923
4,7,32.55076622962952
4,8,32.55840492248535
4,9,32.549546003341675
4,10,32.55294704437256
5,1,22.536019325256348
5,2,22.537943363189697
5,3,22.53810143470764
5,4,22.538113117218018
5,5,22.538463354110718
5,6,22.53637671470642
5,7,22.538747787475586
5,8,22.535889148712158
5,9,22.53631901741028
5,10,22.54122281074524
6,1,42.565099000930786
6,2,42.56850075721741
6,3,42.57249689102173
6,4,42.567158699035645
6,5,42.56328296661377
6,6,42.56832480430603
6,7,42.563945055007935
6,8,42.567586183547974
6,9,42.56379795074463
6,10,42.562819957733154
7,1,42.56658577919006
7,2,42.56424283981323
7,3,42.56706690788269
7,4,42.566243171691895
7,5,42.56653571128845
7,6,42.567397594451904
7,7,42.56453347206116
7,8,42.56427264213562
7,9,42.5667290687561
7,10,42.56537485122681
8,1,12.523830652236938
8,2,12.522545576095581
8,3,12.522393465042114
8,4,12.526691913604736
8,5,12.523986339569092
8,6,12.527760982513428
8,7,12.527539253234863
8,8,12.525964736938477
8,9,12.524352550506592
8,10,12.524206399917603
9,1,17.528882265090942
9,2,17.529937744140625
9,3,17.52864694595337
9,4,17.52981448173523
9,5,17.530999183654785
9,6,17.53107738494873
9,7,17.529511213302612
9,8,17.529592275619507
9,9,17.532653093338013
9,10,17.53021764755249
10,1,42.565351486206055
10,2,42.566516637802124
10,3,42.568562030792236
10,4,42.56352353096008
10,5,42.56697344779968
10,6,42.56981039047241
10,7,42.57052278518677
10,8,42.57566857337952
10,9,42.56601881980896
10,10,42.566468477249146
