1,Follower,,,Leader,Rotate Theta 180 Deg,Tilt 45 Deg,,,2,Follower,,,Leader,Rotate Theta 180 Deg,Tilt 90 Deg,Elevate 9 Inch,,3,Follower,,,Leader,Rotate Theta 180 Deg,Tilt 90 Deg,Elevate 6 Inch,,4,Follower,,,Leader,Rotate Theta 120 Deg,Tilt 90 Deg,Elevate 6 Inch,,5,Follower,,,Leader,Rotate Theta -120 Deg,Tilt 90 Deg,Elevate 6 Inch,,6,Follower,,,Leader,Rotate Theta -120 Deg,Tilt 45 Deg,,,7,Follower,,,Leader,Rotate Theta -60 Deg,Tilt 45 Deg,,,8,Follower,,,Leader,Rotate Theta -60 Deg,Tilt 90 Deg,Elevate 6 Inch,,9,Follower,,,Leader,Rotate Theta -90 Deg,Tilt 90 Deg,Elevate 6 Inch,,10,Follower,,,Leader,Rotate Theta -90 Deg,Tilt 45 Deg,,
,TxNo,Theta,Phi,Target Theta,Target Phi,Closest Theta,Closest Phi,Closest TxNo,,TxNo,Theta,Phi,Target Theta,Target Phi,Closest Theta,Closest Phi,Closest TxNo,,TxNo,Theta,Phi,Target Theta,Target Phi,Closest Theta,Closest Phi,Closest TxNo,,TxNo,Theta,Phi,Target Theta,Target Phi,Closest Theta,Closest Phi,Closest TxNo,,TxNo,Theta,Phi,Target Theta,Target Phi,Closest Theta,Closest Phi,Closest TxNo,,TxNo,Theta,Phi,Target Theta,Target Phi,Closest Theta,Closest Phi,Closest TxNo,,TxNo,Theta,Phi,Target Theta,Target Phi,Closest Theta,Closest Phi,Closest TxNo,,TxNo,Theta,Phi,Target Theta,Target Phi,Closest Theta,Closest Phi,Closest TxNo,,TxNo,Theta,Phi,Target Theta,Target Phi,Closest Theta,Closest Phi,Closest TxNo,,TxNo,Theta,Phi,Target Theta,Target Phi,Closest Theta,Closest Phi,Closest TxNo
,0,0.0, 0.0,0.0,135.0,0.0, 141.4213562373095,27,,0,0.0, 0.0,0.0,90.0,0.0, 106.06601717798213,17,,0,0.0, 0.0,0.0,90.0,0.0, 106.06601717798213,17,,0,0.0, 0.0,300.0,90.0,288.0, 106.06601717798213,25,,0,0.0, 0.0,60.0,90.0,72.0, 106.06601717798213,19,,0,0.0, 0.0,60.0,135.0,51.42857142857143, 141.4213562373095,28,,0,0.0, 0.0,120.0,135.0,102.85714285714286, 141.4213562373095,29,,0,0.0, 0.0,120.0,90.0,108.0, 106.06601717798213,20,,0,0.0, 0.0,90.0,90.0,72.0, 106.06601717798213,19,,0,0.0, 0.0,90.0,135.0,102.85714285714286, 141.4213562373095,29
,1,0.0, 35.35533905932738,0.0,99.64466094067262,0.0, 106.06601717798213,17,,1,0.0, 35.35533905932738,0.0,54.64466094067262,0.0, 70.71067811865476,7,,1,0.0, 35.35533905932738,0.0,54.64466094067262,0.0, 70.71067811865476,7,,1,0.0, 35.35533905932738,300.0,54.64466094067262,299.99999999999994, 35.35533905932738,6,,1,0.0, 35.35533905932738,60.0,54.64466094067262,59.99999999999999, 35.35533905932738,2,,1,0.0, 35.35533905932738,60.0,99.64466094067262,72.0, 106.06601717798213,19,,1,0.0, 35.35533905932738,120.0,99.64466094067262,108.0, 106.06601717798213,20,,1,0.0, 35.35533905932738,120.0,54.64466094067262,119.99999999999999, 35.35533905932738,3,,1,0.0, 35.35533905932738,90.0,54.64466094067262,72.0, 70.71067811865476,9,,1,0.0, 35.35533905932738,90.0,99.64466094067262,72.0, 106.06601717798213,19
,2,59.99999999999999, 35.35533905932738,60.0,99.64466094067262,72.0, 106.06601717798213,19,,2,59.99999999999999, 35.35533905932738,60.0,54.64466094067262,59.99999999999999, 35.35533905932738,2,,2,59.99999999999999, 35.35533905932738,60.0,54.64466094067262,59.99999999999999, 35.35533905932738,2,,2,59.99999999999999, 35.35533905932738,0.0,54.64466094067262,0.0, 70.71067811865476,7,,2,59.99999999999999, 35.35533905932738,120.0,54.64466094067262,119.99999999999999, 35.35533905932738,3,,2,59.99999999999999, 35.35533905932738,120.0,99.64466094067262,108.0, 106.06601717798213,20,,2,59.99999999999999, 35.35533905932738,180.0,99.64466094067262,180.0, 106.06601717798213,22,,2,59.99999999999999, 35.35533905932738,180.0,54.64466094067262,180.0, 70.71067811865476,12,,2,59.99999999999999, 35.35533905932738,150.0,54.64466094067262,144.0, 70.71067811865476,11,,2,59.99999999999999, 35.35533905932738,150.0,99.64466094067262,144.0, 106.06601717798213,21
,3,119.99999999999999, 35.35533905932738,120.0,99.64466094067262,108.0, 106.06601717798213,20,,3,119.99999999999999, 35.35533905932738,120.0,54.64466094067262,119.99999999999999, 35.35533905932738,3,,3,119.99999999999999, 35.35533905932738,120.0,54.64466094067262,119.99999999999999, 35.35533905932738,3,,3,119.99999999999999, 35.35533905932738,60.0,54.64466094067262,59.99999999999999, 35.35533905932738,2,,3,119.99999999999999, 35.35533905932738,180.0,54.64466094067262,180.0, 70.71067811865476,12,,3,119.99999999999999, 35.35533905932738,180.0,99.64466094067262,180.0, 106.06601717798213,22,,3,119.99999999999999, 35.35533905932738,240.0,99.64466094067262,252.0, 106.06601717798213,24,,3,119.99999999999999, 35.35533905932738,240.0,54.64466094067262,239.99999999999997, 35.35533905932738,5,,3,119.99999999999999, 35.35533905932738,210.0,54.64466094067262,216.0, 70.71067811865476,13,,3,119.99999999999999, 35.35533905932738,210.0,99.64466094067262,216.0, 106.06601717798213,23
,4,180.0, 35.35533905932738,180.0,99.64466094067262,180.0, 106.06601717798213,22,,4,180.0, 35.35533905932738,180.0,54.64466094067262,180.0, 70.71067811865476,12,,4,180.0, 35.35533905932738,180.0,54.64466094067262,180.0, 70.71067811865476,12,,4,180.0, 35.35533905932738,120.0,54.64466094067262,119.99999999999999, 35.35533905932738,3,,4,180.0, 35.35533905932738,240.0,54.64466094067262,239.99999999999997, 35.35533905932738,5,,4,180.0, 35.35533905932738,240.0,99.64466094067262,252.0, 106.06601717798213,24,,4,180.0, 35.35533905932738,300.0,99.64466094067262,288.0, 106.06601717798213,25,,4,180.0, 35.35533905932738,300.0,54.64466094067262,299.99999999999994, 35.35533905932738,6,,4,180.0, 35.35533905932738,270.0,54.64466094067262,252.0, 70.71067811865476,14,,4,180.0, 35.35533905932738,270.0,99.64466094067262,252.0, 106.06601717798213,24
,5,239.99999999999997, 35.35533905932738,240.0,99.64466094067262,252.0, 106.06601717798213,24,,5,239.99999999999997, 35.35533905932738,240.0,54.64466094067262,239.99999999999997, 35.35533905932738,5,,5,239.99999999999997, 35.35533905932738,240.0,54.64466094067262,239.99999999999997, 35.35533905932738,5,,5,239.99999999999997, 35.35533905932738,180.0,54.64466094067262,180.0, 70.71067811865476,12,,5,239.99999999999997, 35.35533905932738,300.0,54.64466094067262,299.99999999999994, 35.35533905932738,6,,5,239.99999999999997, 35.35533905932738,300.0,99.64466094067262,288.0, 106.06601717798213,25,,5,239.99999999999997, 35.35533905932738,0.0,99.64466094067262,0.0, 106.06601717798213,17,,5,239.99999999999997, 35.35533905932738,0.0,54.64466094067262,0.0, 70.71067811865476,7,,5,239.99999999999997, 35.35533905932738,330.0,54.64466094067262,324.0, 70.71067811865476,16,,5,239.99999999999997, 35.35533905932738,330.0,99.64466094067262,324.0, 106.06601717798213,26
,6,299.99999999999994, 35.35533905932738,300.0,99.64466094067262,288.0, 106.06601717798213,25,,6,299.99999999999994, 35.35533905932738,300.0,54.64466094067262,299.99999999999994, 35.35533905932738,6,,6,299.99999999999994, 35.35533905932738,300.0,54.64466094067262,299.99999999999994, 35.35533905932738,6,,6,299.99999999999994, 35.35533905932738,240.0,54.64466094067262,239.99999999999997, 35.35533905932738,5,,6,299.99999999999994, 35.35533905932738,359.99999999999994,54.64466094067262,324.0, 70.71067811865476,16,,6,299.99999999999994, 35.35533905932738,359.99999999999994,99.64466094067262,324.0, 106.06601717798213,26,,6,299.99999999999994, 35.35533905932738,59.99999999999994,99.64466094067262,72.0, 106.06601717798213,19,,6,299.99999999999994, 35.35533905932738,59.99999999999994,54.64466094067262,59.99999999999999, 35.35533905932738,2,,6,299.99999999999994, 35.35533905932738,29.999999999999943,54.64466094067262,36.0, 70.71067811865476,8,,6,299.99999999999994, 35.35533905932738,29.999999999999943,99.64466094067262,36.0, 106.06601717798213,18
,7,0.0, 70.71067811865476,0.0,64.28932188134524,0.0, 70.71067811865476,7,,7,0.0, 70.71067811865476,0.0,19.289321881345245,0.0, 35.35533905932738,1,,7,0.0, 70.71067811865476,0.0,19.289321881345245,0.0, 35.35533905932738,1,,7,0.0, 70.71067811865476,300.0,19.289321881345245,299.99999999999994, 35.35533905932738,6,,7,0.0, 70.71067811865476,60.0,19.289321881345245,59.99999999999999, 35.35533905932738,2,,7,0.0, 70.71067811865476,60.0,64.28932188134524,72.0, 70.71067811865476,9,,7,0.0, 70.71067811865476,120.0,64.28932188134524,108.0, 70.71067811865476,10,,7,0.0, 70.71067811865476,120.0,19.289321881345245,119.99999999999999, 35.35533905932738,3,,7,0.0, 70.71067811865476,90.0,19.289321881345245,119.99999999999999, 35.35533905932738,3,,7,0.0, 70.71067811865476,90.0,64.28932188134524,72.0, 70.71067811865476,9
,8,36.0, 70.71067811865476,36.0,64.28932188134524,36.0, 70.71067811865476,8,,8,36.0, 70.71067811865476,36.0,19.289321881345245,59.99999999999999, 35.35533905932738,2,,8,36.0, 70.71067811865476,36.0,19.289321881345245,59.99999999999999, 35.35533905932738,2,,8,36.0, 70.71067811865476,336.0,19.289321881345245,299.99999999999994, 35.35533905932738,6,,8,36.0, 70.71067811865476,96.0,19.289321881345245,119.99999999999999, 35.35533905932738,3,,8,36.0, 70.71067811865476,96.0,64.28932188134524,108.0, 70.71067811865476,10,,8,36.0, 70.71067811865476,156.0,64.28932188134524,144.0, 70.71067811865476,11,,8,36.0, 70.71067811865476,156.0,19.289321881345245,180.0, 35.35533905932738,4,,8,36.0, 70.71067811865476,126.0,19.289321881345245,119.99999999999999, 35.35533905932738,3,,8,36.0, 70.71067811865476,126.0,64.28932188134524,108.0, 70.71067811865476,10
