1,Follower,,,Leader,Rotate Theta 180 Deg,Tilt 45 Deg,,,2,Follower,,,Leader,Rotate Theta 180 Deg,Tilt 90 Deg,Elevate 9 Inch,,3,Follower,,,Leader,Rotate Theta 180 Deg,Tilt 90 Deg,Elevate 6 Inch,,4,Follower,,,Leader,Rotate Theta 120 Deg,Tilt 90 Deg,Elevate 6 Inch,,5,Follower,,,Leader,Rotate Theta -120 Deg,Tilt 90 Deg,Elevate 6 Inch,,6,Follower,,,Leader,Rotate Theta -120 Deg,Tilt 45 Deg,,,7,Follower,,,Leader,Rotate Theta -60 Deg,Tilt 45 Deg,,,8,Follower,,,Leader,Rotate Theta -60 Deg,Tilt 90 Deg,Elevate 6 Inch,,9,Follower,,,Leader,Rotate Theta -90 Deg,Tilt 90 Deg,Elevate 6 Inch,,10,Follower,,,Leader,Rotate Theta -90 Deg,Tilt 45 Deg,,
,TxNo,Theta,Phi,Target Theta,Target Phi,Closest Theta,Closest Phi,Closest TxNo,,TxNo,Theta,Phi,Target Theta,Target Phi,Closest Theta,Closest Phi,Closest TxNo,,TxNo,Theta,Phi,Target Theta,Target Phi,Closest Theta,Closest Phi,Closest TxNo,,TxNo,Theta,Phi,Target Theta,Target Phi,Closest Theta,Closest Phi,Closest TxNo,,TxNo,Theta,Phi,Target Theta,Target Phi,Closest Theta,Closest Phi,Closest TxNo,,TxNo,Theta,Phi,Target Theta,Target Phi,Closest Theta,Closest Phi,Closest TxNo,,TxNo,Theta,Phi,Target Theta,Target Phi,Closest Theta,Closest Phi,Closest TxNo,,TxNo,Theta,Phi,Target Theta,Target Phi,Closest Theta,Closest Phi,Closest TxNo,,TxNo,Theta,Phi,Target Theta,Target Phi,Closest Theta,Closest Phi,Closest TxNo,,TxNo,Theta,Phi,Target Theta,Target Phi,Closest Theta,Closest Phi,Closest TxNo
,0,0, 0,0.0,2.356194490192345,0.0, 2.46826829897687,27,,0,0, 0,0.0,1.5707963267948966,0.0, 1.8512012242326525,17,,0,0, 0,0.0,1.5707963267948966,0.0, 1.8512012242326525,17,,0,0, 0,5.235987755982988,1.5707963267948966,5.026548245743669, 1.8512012242326525,25,,0,0, 0,1.0471975511965979,1.5707963267948966,1.2566370614359172, 1.8512012242326525,19,,0,0, 0,1.0471975511965979,2.356194490192345,0.8975979010256552, 2.46826829897687,28,,0,0, 0,2.0943951023931957,2.356194490192345,1.7951958020513104, 2.46826829897687,29,,0,0, 0,2.0943951023931957,1.5707963267948966,1.8849555921538759, 1.8512012242326525,20,,0,0, 0,1.5707963267948966,1.5707963267948966,1.2566370614359172, 1.8512012242326525,19,,0,0, 0,1.5707963267948966,2.356194490192345,1.7951958020513104, 2.46826829897687,29
,1,0.0, 0.6170670747442175,0.0,1.7391274154481273,0.0, 1.8512012242326525,17,,1,0.0, 0.6170670747442175,0.0,0.953729252050679,0.0, 1.234134149488435,7,,1,0.0, 0.6170670747442175,0.0,0.953729252050679,0.0, 1.234134149488435,7,,1,0.0, 0.6170670747442175,5.235987755982988,0.953729252050679,5.235987755982988, 0.6170670747442175,6,,1,0.0, 0.6170670747442175,1.0471975511965979,0.953729252050679,1.0471975511965976, 0.6170670747442175,2,,1,0.0, 0.6170670747442175,1.0471975511965979,1.7391274154481273,1.2566370614359172, 1.8512012242326525,19,,1,0.0, 0.6170670747442175,2.0943951023931957,1.7391274154481273,1.8849555921538759, 1.8512012242326525,20,,1,0.0, 0.6170670747442175,2.0943951023931957,0.953729252050679,2.0943951023931953, 0.6170670747442175,3,,1,0.0, 0.6170670747442175,1.5707963267948966,0.953729252050679,1.2566370614359172, 1.234134149488435,9,,1,0.0, 0.6170670747442175,1.5707963267948966,1.7391274154481273,1.2566370614359172, 1.8512012242326525,19
,2,1.0471975511965976, 0.6170670747442175,1.0471975511965974,1.7391274154481273,1.2566370614359172, 1.8512012242326525,19,,2,1.0471975511965976, 0.6170670747442175,1.0471975511965974,0.953729252050679,1.0471975511965976, 0.6170670747442175,2,,2,1.0471975511965976, 0.6170670747442175,1.0471975511965974,0.953729252050679,1.0471975511965976, 0.6170670747442175,2,,2,1.0471975511965976, 0.6170670747442175,0.0,0.953729252050679,0.0, 1.234134149488435,7,,2,1.0471975511965976, 0.6170670747442175,2.0943951023931957,0.953729252050679,2.0943951023931953, 0.6170670747442175,3,,2,1.0471975511965976, 0.6170670747442175,2.0943951023931957,1.7391274154481273,1.8849555921538759, 1.8512012242326525,20,,2,1.0471975511965976, 0.6170670747442175,3.141592653589793,1.7391274154481273,3.141592653589793, 1.8512012242326525,22,,2,1.0471975511965976, 0.6170670747442175,3.141592653589793,0.953729252050679,3.141592653589793, 1.234134149488435,12,,2,1.0471975511965976, 0.6170670747442175,2.617993877991494,0.953729252050679,2.5132741228718345, 1.234134149488435,11,,2,1.0471975511965976, 0.6170670747442175,2.617993877991494,1.7391274154481273,2.5132741228718345, 1.8512012242326525,21
,3,2.0943951023931953, 0.6170670747442175,2.094395102393195,1.7391274154481273,1.8849555921538759, 1.8512012242326525,20,,3,2.0943951023931953, 0.6170670747442175,2.094395102393195,0.953729252050679,2.0943951023931953, 0.6170670747442175,3,,3,2.0943951023931953, 0.6170670747442175,2.094395102393195,0.953729252050679,2.0943951023931953, 0.6170670747442175,3,,3,2.0943951023931953, 0.6170670747442175,1.0471975511965974,0.953729252050679,1.0471975511965976, 0.6170670747442175,2,,3,2.0943951023931953, 0.6170670747442175,3.141592653589793,0.953729252050679,3.141592653589793, 1.234134149488435,12,,3,2.0943951023931953, 0.6170670747442175,3.141592653589793,1.7391274154481273,3.141592653589793, 1.8512012242326525,22,,3,2.0943951023931953, 0.6170670747442175,4.1887902047863905,1.7391274154481273,4.39822971502571, 1.8512012242326525,24,,3,2.0943951023931953, 0.6170670747442175,4.1887902047863905,0.953729252050679,4.1887902047863905, 0.6170670747442175,5,,3,2.0943951023931953, 0.6170670747442175,3.665191429188092,0.953729252050679,3.7699111843077517, 1.234134149488435,13,,3,2.0943951023931953, 0.6170670747442175,3.665191429188092,1.7391274154481273,3.7699111843077517, 1.8512012242326525,23
,4,3.141592653589793, 0.6170670747442175,3.141592653589793,1.7391274154481273,3.141592653589793, 1.8512012242326525,22,,4,3.141592653589793, 0.6170670747442175,3.141592653589793,0.953729252050679,3.141592653589793, 1.234134149488435,12,,4,3.141592653589793, 0.6170670747442175,3.141592653589793,0.953729252050679,3.141592653589793, 1.234134149488435,12,,4,3.141592653589793, 0.6170670747442175,2.094395102393195,0.953729252050679,2.0943951023931953, 0.6170670747442175,3,,4,3.141592653589793, 0.6170670747442175,4.188790204786391,0.953729252050679,4.1887902047863905, 0.6170670747442175,5,,4,3.141592653589793, 0.6170670747442175,4.188790204786391,1.7391274154481273,4.39822971502571, 1.8512012242326525,24,,4,3.141592653589793, 0.6170670747442175,5.235987755982989,1.7391274154481273,5.026548245743669, 1.8512012242326525,25,,4,3.141592653589793, 0.6170670747442175,5.235987755982989,0.953729252050679,5.235987755982988, 0.6170670747442175,6,,4,3.141592653589793, 0.6170670747442175,4.71238898038469,0.953729252050679,4.39822971502571, 1.234134149488435,14,,4,3.141592653589793, 0.6170670747442175,4.71238898038469,1.7391274154481273,4.39822971502571, 1.8512012242326525,24
,5,4.1887902047863905, 0.6170670747442175,4.18879020478639,1.7391274154481273,4.39822971502571, 1.8512012242326525,24,,5,4.1887902047863905, 0.6170670747442175,4.18879020478639,0.953729252050679,4.1887902047863905, 0.6170670747442175,5,,5,4.1887902047863905, 0.6170670747442175,4.18879020478639,0.953729252050679,4.1887902047863905, 0.6170670747442175,5,,5,4.1887902047863905, 0.6170670747442175,3.141592653589793,0.953729252050679,3.141592653589793, 1.234134149488435,12,,5,4.1887902047863905, 0.6170670747442175,5.235987755982988,0.953729252050679,5.235987755982988, 0.6170670747442175,6,,5,4.1887902047863905, 0.6170670747442175,5.235987755982988,1.7391274154481273,5.026548245743669, 1.8512012242326525,25,,5,4.1887902047863905, 0.6170670747442175,0.0,1.7391274154481273,0.0, 1.8512012242326525,17,,5,4.1887902047863905, 0.6170670747442175,0.0,0.953729252050679,0.0, 1.234134149488435,7,,5,4.1887902047863905, 0.6170670747442175,5.759586531581287,0.953729252050679,5.654866776461628, 1.234134149488435,16,,5,4.1887902047863905, 0.6170670747442175,5.759586531581287,1.7391274154481273,5.654866776461628, 1.8512012242326525,26
,6,5.235987755982988, 0.6170670747442175,5.235987755982988,1.7391274154481273,5.026548245743669, 1.8512012242326525,25,,6,5.235987755982988, 0.6170670747442175,5.235987755982988,0.953729252050679,5.235987755982988, 0.6170670747442175,6,,6,5.235987755982988, 0.6170670747442175,5.235987755982988,0.953729252050679,5.235987755982988, 0.6170670747442175,6,,6,5.235987755982988, 0.6170670747442175,4.18879020478639,0.953729252050679,4.1887902047863905, 0.6170670747442175,5,,6,5.235987755982988, 0.6170670747442175,0.0,0.953729252050679,0.0, 1.234134149488435,7,,6,5.235987755982988, 0.6170670747442175,0.0,1.7391274154481273,0.0, 1.8512012242326525,17,,6,5.235987755982988, 0.6170670747442175,1.0471975511965974,1.7391274154481273,1.2566370614359172, 1.8512012242326525,19,,6,5.235987755982988, 0.6170670747442175,1.0471975511965974,0.953729252050679,1.0471975511965976, 0.6170670747442175,2,,6,5.235987755982988, 0.6170670747442175,0.5235987755982983,0.953729252050679,0.6283185307179586, 1.234134149488435,8,,6,5.235987755982988, 0.6170670747442175,0.5235987755982983,1.7391274154481273,0.6283185307179586, 1.8512012242326525,18
,7,0.0, 1.234134149488435,0.0,1.1220603407039098,0.0, 1.234134149488435,7,,7,0.0, 1.234134149488435,0.0,0.33666217730646153,0.0, 0.6170670747442175,1,,7,0.0, 1.234134149488435,0.0,0.33666217730646153,0.0, 0.6170670747442175,1,,7,0.0, 1.234134149488435,5.235987755982988,0.33666217730646153,5.235987755982988, 0.6170670747442175,6,,7,0.0, 1.234134149488435,1.0471975511965979,0.33666217730646153,1.0471975511965976, 0.6170670747442175,2,,7,0.0, 1.234134149488435,1.0471975511965979,1.1220603407039098,1.2566370614359172, 1.234134149488435,9,,7,0.0, 1.234134149488435,2.0943951023931957,1.1220603407039098,1.8849555921538759, 1.234134149488435,10,,7,0.0, 1.234134149488435,2.0943951023931957,0.33666217730646153,2.0943951023931953, 0.6170670747442175,3,,7,0.0, 1.234134149488435,1.5707963267948966,0.33666217730646153,2.0943951023931953, 0.6170670747442175,3,,7,0.0, 1.234134149488435,1.5707963267948966,1.1220603407039098,1.2566370614359172, 1.234134149488435,9
,8,0.6283185307179586, 1.234134149488435,0.6283185307179586,1.1220603407039098,0.6283185307179586, 1.234134149488435,8,,8,0.6283185307179586, 1.234134149488435,0.6283185307179586,0.33666217730646153,1.0471975511965976, 0.6170670747442175,2,,8,0.6283185307179586, 1.234134149488435,0.6283185307179586,0.33666217730646153,1.0471975511965976, 0.6170670747442175,2,,8,0.6283185307179586, 1.234134149488435,5.864306286700947,0.33666217730646153,5.235987755982988, 0.6170670747442175,6,,8,0.6283185307179586, 1.234134149488435,1.6755160819145565,0.33666217730646153,2.0943951023931953, 0.6170670747442175,3,,8,0.6283185307179586, 1.234134149488435,1.6755160819145565,1.1220603407039098,1.8849555921538759, 1.234134149488435,10,,8,0.6283185307179586, 1.234134149488435,2.7227136331111543,1.1220603407039098,2.5132741228718345, 1.234134149488435,11,,8,0.6283185307179586, 1.234134149488435,2.7227136331111543,0.33666217730646153,3.141592653589793, 0.6170670747442175,4,,8,0.6283185307179586, 1.234134149488435,2.199114857512855,0.33666217730646153,2.0943951023931953, 0.6170670747442175,3,,8,0.6283185307179586, 1.234134149488435,2.199114857512855,1.1220603407039098,1.8849555921538759, 1.234134149488435,10
